Ticker,Nombre,Índice,Precio,PER (Trailing),PER (Forward),Margen Bruto (%),Margen Operativo (%),Margen Neto (%),ROIC (%),ROE (%),ROA (%),Debt/Equity,Current Ratio,Market Cap (B)
TROW,"T. Rowe Price Group, Inc.",S&P 500,112.23,11.078974,10.903791,51.614,28.688,29.262,20.93480395776161,19.399999,10.659,3.702,4.039,23.940440064
PUIG.MC,"PUIG BRANDS, S.A. CLASE B",IBEX 35,17.15,16.650486,14.45245,74.976,14.43,11.41,20.692321886160595,15.607001,6.537999999999999,44.466,1.096,9.660459008
ESEA,Euroseas Ltd.,Small/Micro Cap (US),74.55,3.7349703,4.847204,77.796996,59.181,59.976,20.026049787387905,29.198998,11.833,39.421,5.457,0.525978688
GNTX,Gentex Corporation,Small/Micro Cap (US),23.64,12.5079365,10.659212,35.018003,21.757,15.499,19.344449742427365,16.354999,11.057,0.441,3.038,5.03418112
LULU,lululemon athletica inc.,S&P 500,119.45,9.633064,10.614248,55.69499999999999,11.205,13.028999999999998,19.092209683736165,32.027,16.045,44.264,2.226,13.564015616
QCOM,QUALCOMM Incorporated,S&P 500,161.91,18.31561,15.870496,54.226,18.528,21.013,18.728744265069576,33.754003,11.612,55.21,2.016,170.043375616
KRT,Karat Packaging Inc.,Small/Micro Cap (US),48.17,19.191235,20.67382,35.502997,8.709999999999999,10.176,18.33883711535846,30.617002,7.288,41.724,2.251,0.960110912
RIGL,"Rigel Pharmaceuticals, Inc.",Small/Micro Cap (US),46.96,2.7803435,9.507689,75.608003,29.954,116.303,17.86719409763745,126.897,14.951,9.391,1.941,0.868857664
AENA.MC,"AENA, S.M.E., S.A.",IBEX 35,26.58,17.838926,16.432055,80.605006,50.990003,33.948,17.756697057482864,27.127,10.865,91.58,1.127,39.870001152
NTGY.MC,"NATURGY ENERGY GROUP, S.A.",IBEX 35,29.58,13.631336,14.1510105,39.119998,23.679,10.673001,17.12820393266178,22.853,5.9759997,140.835,1.371,27.402723328
INVA,"Innoviva, Inc.",Small/Micro Cap (US),21.48,4.926605,9.719457,72.670996,43.277,81.19,15.36935720039014,36.676,6.949,26.859,16.007,1.551833088
NMIH,NMI Holdings Inc,Small/Micro Cap (US),45.66,8.988189,8.359636,76.384,76.672995,54.097,14.930671265335164,15.427,8.816,15.753,2.029,3.434446848
BF-B,Brown Forman Inc,S&P 500,28.43,17.76875,16.720087,60.540000000000006,23.246,18.202999,14.879602537044097,17.846,8.636000000000001,64.95,3.239,13.045511168
PTC,PTC Inc.,S&P 500,152.44,14.785645,17.150848,84.501,28.232000000000003,41.429,14.148004855271,35.053003,11.537,46.335,1.025,16.540695552
JAZZ,Jazz Pharmaceuticals plc,Small/Micro Cap (US),252.16,17.330584,9.785576,91.353995,26.914,20.445,13.936954477754714,22.114,6.862,91.828,1.779,16.36886016
PNR,Pentair plc.,S&P 500,65.59,16.356607,12.662088,41.388000000000005,23.44,16.237,13.548770379032248,17.126,8.663,47.067,1.451,10.599706624
ANIP,"ANI Pharmaceuticals, Inc.",Small/Micro Cap (US),78.02,16.742489,7.405305,60.403997,14.974000000000002,11.07,13.020901619648589,20.459,5.446,104.825,2.91,1.792146816
ARLP,"Alliance Resource Partners, L.P",Small/Micro Cap (US),26.07,12.533654,8.958762,35.407,17.040001,12.2530006,13.016965553351284,15.168999,7.757,33.076,1.752,3.354134784
NAGE,"Niagen Bioscience, Inc.",Small/Micro Cap (US),3.17,15.85,31.7,64.239,2.35,12.388,12.686529318506963,21.798,5.436,2.822,6.497,0.252472528
VIS.MC,"VISCOFAN, S.A.",Mercado Continuo (BME),56.4,15.932204,14.679205,63.687000000000005,15.115,12.786001,12.30428842450253,17.538,8.088,40.996,1.845,2.564760576
TRMD,TORM plc,Small/Micro Cap (US),30.97,8.848571,6.928412,51.905,34.153998,24.455,12.068191137276976,15.65,7.154000000000001,47.593,1.401,3.170309632
TREE,"LendingTree, Inc.",Small/Micro Cap (US),31.22,2.4145398,4.715286,96.408,7.782999999999999,14.325,12.06687714479781,82.782996,7.754,135.941,1.846,0.438315072
QFIN,"Qfin Holdings, Inc.",Small/Micro Cap (US),11.79,2.1053572,2.647613,57.056,27.453,27.534,,21.295,8.297,11.678,2.218,1.43545472
YB,Yuanbao Inc.,Small/Micro Cap (US),13.82,3.2904763,2.786696,96.393996,33.228,29.669002,,47.877,21.308,0.113,3.484,0.636828352
CGEN,Compugen Ltd.,Small/Micro Cap (US),2.44,6.2564106,-6.6544847,86.887,-339.62297,47.555,,50.638000000000005,15.464,3.407,5.718,0.231126912
KSPI,Joint Stock Company Kaspi.kz - ,Small/Micro Cap (US),101.48,8.400662,0.014915984,69.443,0.0,24.152,,44.781,13.538,22.171,6.515,19.283968
PDD,PDD Holdings Inc.,Small/Micro Cap (US),90.2,9.435145,7.3651843,55.979,18.419,21.620001,,25.4,10.334,1.21,2.535,128.390356992
SKHY,SK hynix Inc.,Small/Micro Cap (US),156.16,9.663366,4.632922,70.197,76.328003,85.682,,92.68,33.661,7.075,17.544,1108.509458432
ZVRA,"Zevra Therapeutics, Inc.",Small/Micro Cap (US),12.13,12.377551,11.5523815,95.458,42.299,42.818,,34.796003,8.735999999999999,0.687,5.167,0.720325248
ERIC,Ericsson,Small/Micro Cap (US),10.15,13.01282,16.309673,48.125,0.0,10.831001,,26.077,6.9460005,37.682,1.12,33.227876352
CRCT,"Cricut, Inc.",Small/Micro Cap (US),5.43,13.575,22.976345,58.031,30.341,12.71,,25.896,10.283,2.819,2.488,1.1372832
BZ,KANZHUN LIMITED - American Depo,Small/Micro Cap (US),16.08,14.752293,11.094382,85.468,30.145,40.103,,18.156,7.657000399999999,0.602,4.328,7.185939968
NTES,"NetEase, Inc.",Small/Micro Cap (US),127.25,15.90625,12.005938,65.688,41.374,29.839,,22.128001,11.003,6.469,3.285,81.471832064
DUOL,"Duolingo, Inc.",Small/Micro Cap (US),146.03,16.500565,19.023983,72.717005,11.684,35.875,,34.42,5.6420002,6.11,2.719,6.832198656
ATAT,Atour Lifestyle Holdings Limite,Small/Micro Cap (US),37.0,17.961166,13.681924,44.162998,23.583001,17.219,,52.884996,20.165001,37.22,2.172,5.112880128
