Ticker,Nombre,Índice,Precio,Market Cap (B),PER (Trailing),PER (Forward),PEG,EV/EBITDA,EV/Sales,P/S,P/B,P/FCF,Crec. Ventas YoY (%),Crec. EPS YoY (%),ROIC Aprox. (%),ROE (%),ROA (%),Margen Bruto (%),Margen Operativo (%),Margen Neto (%),Debt/Equity,Current Ratio,Payout Ratio (%)
IPI,"Intrepid Potash, Inc",Russell 2000,38.98,0.524541152,32.48333,27.573814,0.96,5.236,1.381,2.1713028,0.9992822,14.165685057657512,-1.5,382.3,1.4031305936068998,3.134,2.0709999999999997,27.831,2.5229999999999997,10.8909994,0.0062900000000000005,6.331,0.0
CMCL,Caledonia Mining Corporation Pl,Russell 2000,24.77,0.478929952,7.097421,4.8521056,0.17145249469964666,3.103,1.669,1.7623593,1.629391,9.53217733637187,16.5,28.299999999999997,54.801170544060284,27.914,17.055,60.190999999999995,61.01,24.093999999999998,0.36113,5.734,16.049999
EYPT,"EyePoint, Inc.",Russell 2000,5.32,0.458648576,,-1.9240716,,-1.519,171.256,159.98412,13.434344,,161.7,,,-148.70399,-74.851996,0.0,-450.655,0.0,0.46823,4.502,0.0
GRND,Grindr Inc.,Russell 2000,15.53,2.69943424,33.042553,20.16883,0.8067532,19.507,6.046,5.2948875,-228.38234,21.21450352624366,32.5,25.0,25.52438567096898,108.65100999999999,19.508,74.93800499999999,23.528999,18.749,,1.101,0.0
DGICA,"Donegal Group, Inc.",Russell 2000,18.67,0.691716096,9.723959,9.957334,1.38,7.404,0.704,0.71951175,1.0405753,16.525779042025007,-2.4,30.3,16.01636385022421,11.179,2.276,9.397,11.565,7.380000000000001,0.052539999999999996,0.507,38.54
MAX,"MediaAlpha, Inc.",Russell 2000,12.94,0.79275584,8.138365,8.321544,,9.243,0.657,0.6473865,24.14179,31.960002296346037,25.900000000000002,,33.88222489948731,,17.406,14.706999000000001,6.351999999999999,7.9390004,,1.288,0.0
DFH,"Dream Finders Homes, Inc.",Russell 2000,14.92,1.353600256,10.433567,12.590718,,15.486,0.761,0.32745212,0.94736177,,-7.6,-52.0,3.6876912328876044,9.423,3.033,19.98,2.409,3.549,1.12734,7.59,0.0
IMXI,"International Money Express, In",Russell 2000,14.12,0.426588192,23.147541,13.798091,2.74,6.115,0.741,0.7680088,2.5151408,187.2027172792101,-18.6,-62.1,20.47976234603315,11.938,6.293,34.276,7.2059999999999995,3.351,0.79873,1.959,0.0
KRT,Karat Packaging Inc.,Russell 2000,48.05,0.957719104,18.992094,20.622318,0.12102299295774648,20.425,1.995,1.941131,5.750359,30.59414464605162,9.9,170.4,18.33883711535846,30.617002,7.288,35.502997,8.709999999999999,10.176,0.41723999999999994,2.251,72.0
PBYI,Puma Biotechnology Inc,Russell 2000,9.24,0.476969376,17.769232,26.4,0.7374301675977654,9.669,1.677,2.0626237,3.4083364,14.688127203283551,7.8,35.8,48.22112281794647,21.966,9.814,74.832,13.424,11.554,0.034769999999999995,2.912,0.0
